CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter_Max,Cycle,Generation,Local_Best_Obj,,,
2.02003E+13,MDG-a_3_n500_m50,4,502.371s,500,50,1584006202,1500,10,55,11.09,,,
2.02003E+13,MDG-a_3_n500_m50,5,505.279s,500,50,1583994098,1500,10,56,11.26,,,
2.02003E+13,MDG-a_3_n500_m50,6,503.474s,500,50,1583999002,1500,10,56,10.96,,,
2.02003E+13,MDG-a_3_n500_m50,7,508.594s,500,50,1583978895,1500,10,53,11.04,,,
2.02003E+13,MDG-a_3_n500_m50,8,505.979s,500,50,1584003520,1500,10,53,10.68,,,
2.02003E+13,MDG-a_3_n500_m50,9,502.964s,500,50,1583985615,1500,10,53,10.41,,,
2.02003E+13,MDG-a_4_n500_m50,0,503.825s,500,50,1583998644,1500,10,55,11.26,,,
2.02003E+13,MDG-a_4_n500_m50,1,501.976s,500,50,1583978328,1500,10,53,11.17,,,
2.02003E+13,MDG-a_4_n500_m50,2,503.717s,500,50,1583980447,1500,10,53,11.41,,,
2.02003E+13,MDG-a_4_n500_m50,3,507.02s,500,50,1583982923,1500,10,57,11.33,,,
2.02003E+13,MDG-a_4_n500_m50,4,501.92s,500,50,1583995803,1500,10,54,11.18,,,
2.02003E+13,MDG-a_4_n500_m50,5,504.4s,500,50,1584000451,1500,10,51,11.33,,,
2.02003E+13,MDG-a_4_n500_m50,6,500.964s,500,50,1584012424,1500,10,55,11.41,,,
2.02003E+13,MDG-a_4_n500_m50,7,503.756s,500,50,1584002423,1500,10,54,10.41,,,
2.02003E+13,MDG-a_4_n500_m50,8,506.564s,500,50,1584004800,1500,10,52,10.95,,,
2.02003E+13,MDG-a_4_n500_m50,9,503.213s,500,50,1584002482,1500,10,56,10.83,,,
2.02003E+13,MDG-a_5_n500_m50,0,500.045s,500,50,1583994794,1500,10,52,10.24,,,
2.02003E+13,MDG-a_5_n500_m50,1,501.56s,500,50,1583992620,1500,10,54,10.28,,,
2.02003E+13,MDG-a_5_n500_m50,2,507.493s,500,50,1584009737,1500,10,53,10.78,,,
2.02003E+13,MDG-a_5_n500_m50,3,505.953s,500,50,1583999224,1500,10,57,11.35,,,
2.02003E+13,MDG-a_5_n500_m50,4,507.414s,500,50,1583984223,1500,10,55,11.4,,,
2.02003E+13,MDG-a_5_n500_m50,5,502.831s,500,50,1583997345,1500,10,52,11.17,,,
2.02003E+13,MDG-a_5_n500_m50,6,505.776s,500,50,1584010425,1500,10,54,10.48,,,
2.02003E+13,MDG-a_5_n500_m50,7,511.419s,500,50,1583991055,1500,10,56,10.63,,,
2.02003E+13,MDG-a_5_n500_m50,8,506.53s,500,50,1584006972,1500,10,53,10.73,,,
2.02003E+13,MDG-a_5_n500_m50,9,503.321s,500,50,1583997665,1500,10,56,11.21,,,
2.02003E+13,MDG-a_6_n500_m50,0,506.726s,500,50,1583991687,1500,10,54,10.63,,,
2.02003E+13,MDG-a_6_n500_m50,1,501.157s,500,50,1584002243,1500,10,56,11.03,,,
2.02003E+13,MDG-a_6_n500_m50,2,501.274s,500,50,1584019584,1500,10,53,10.9,,,
2.02003E+13,MDG-a_6_n500_m50,3,500.024s,500,50,1584013949,1500,10,54,10.65,,,
